x,y,z
79.8773,-11.787,1.16655
75.7385,-15.9853,30.3276
81.1833,19.9018,35.4183
61.5814,-46.0397,24.6859
55.0513,-64.3346,0.999306
83.6133,47.9004,-0.887106
61.1839,-15.3689,61.8097
75.3325,51.2278,36.3734
31.8246,-69.2075,34.5243
60.3183,49.1957,69.6951
26.6922,-46.2051,69.6499
30.7468,-15.6158,86.8505
62.0962,83.1204,34.8305
32.4091,16.004,96.442
1.12725,-87.8629,1.76586
-4.30325,-76.2266,41.3077
53.2504,100.047,13.3477
31.8441,51.8515,95.3115
-2.73119,-20.3042,91.2144
27.9972,79.7517,82.412
33.0208,105.163,46.1462
-35.8855,-70.4369,31.6496
-30.3657,-47.9375,66.8759
-1.29257,53.9589,100.831
-37.0114,-15.9289,83.5117
-4.4459,105.997,53.9079
-55.4527,-66.3831,-1.42053
-34.9459,16.2101,94.606
-1.77276,119.424,19.1027
-35.5592,49.9841,93.1098
-64.8382,-45.8111,22.2678
-33.3824,80.4442,76.405
-63.2534,-18.0243,57.879
-37.692,100.818,44.7046
-76.9012,-13.4048,30.3293
-63.4011,48.8531,69.3476
-82.1653,-11.6342,-2.58459
-56.3642,97.542,10.2745
-81.0302,14.9199,33.8308
-65.0311,79.1391,32.8318
-77.1756,48.8085,35.2662
-84.2697,47.8778,-1.20703
86.3643,18.7751,-2.01614
68.2063,-40.7203,2.18999
47.2127,-48.4855,50.391
64.4561,16.2329,68.8555
32.186,-83.5615,2.48907
70.3905,77.2032,6.52439
50.0275,83.9034,60.3535
-1.55617,-52.6711,71.2293
-33.2374,-83.6661,-0.661932
26.5445,117.419,16.8099
-2.51359,84.0983,83.2411
-50.9723,-50.1963,48.2486
-71.5549,-37.529,-0.278257
-33.6941,111.611,18.3
-67.5104,14.2836,66.6413
-53.6518,78.4927,59.1937
-89.0437,19.4312,-4.25394
-73.2242,71.8197,4.88705
-1.63479,15.2505,102.774
