x,y,z
52.8267,101.887,12.8074
66.735,77.6197,37.408
34.7327,103.287,47.396
0.457644,117.77,14.4375
82.214,50.2536,3.1725
77.5266,49.8867,36.9006
-2.18119,102.691,56.937
26.101,77.4725,83.5361
60.8498,48.9417,72.9135
-34.2842,101.906,44.45
80.5007,15.8711,39.8823
-54.021,98.3502,13.6063
33.9166,48.8687,94.9203
80.0946,-10.5245,0.984621
-36.8755,76.0397,80.9872
76.6259,-12.9523,32.9724
-3.48389,47.1026,102.425
-67.7033,75.2529,35.9138
32.7517,12.8308,94.6147
58.18,-20.5082,61.2938
-37.7525,46.4917,94.1492
64.3831,-43.0531,25.2453
-82.5533,47.3239,1.01707
-66.6453,45.885,68.25
33.5406,-21.8437,82.1914
-79.5822,46.2831,34.9771
55.8633,-62.2835,-3.7043
-32.856,8.68657,92.0291
29.3757,-53.4532,63.5164
-0.00481299,-25.1382,88.3709
38.6885,-71.5338,25.9553
-82.8138,11.4457,33.9474
-32.3116,-26.1786,79.9888
-81.0357,-13.273,-2.30204
-76.6351,-17.5379,29.5117
-60.348,-23.2521,56.9703
5.49789,-90.196,-7.21727
5.07819,-81.6942,33.3521
-23.26,-57.5587,62.049
-65.0263,-46.9628,17.3823
-51.6825,-68.5341,-7.68282
-33.0013,-77.6384,25.2508
28.086,115.37,14.3565
71.6375,77.9882,7.53702
51.5034,80.6397,64.3321
-29.8174,113.034,15.8292
-5.42396,79.6089,86.7978
65.9312,15.9425,68.9008
-55.2325,77.7148,61.664
-72.2599,73.1133,8.12496
69.1473,-39.672,-3.31153
50.1489,-46.4399,49.0187
-85.6407,15.3868,1.16444
-65.4282,10.6857,68.2853
31.6506,-80.911,-5.47829
2.86832,-58.0088,67.2972
-69.4288,-42.0635,-7.76242
-49.8398,-53.6625,44.4696
-23.4726,-86.5937,-7.78768
85.4407,20.4057,2.61834
-1.19388,11.7516,100.423
