x,y,z
1.34598,-90.7943,-9.62107
55.5146,-66.4522,-11.7848
36.2212,-73.3914,23.3138
-0.302724,-79.8534,29.8469
63.8621,-47.8603,18.7364
26.7956,-55.1695,61.441
-38.3381,-75.0388,18.6706
-24.422,-57.4642,61.785
-55.0163,-67.2344,-9.17705
77.1518,-16.9599,24.5732
79.8565,-15.9081,-7.97015
58.5157,-22.0878,58.5721
30.8684,-24.5848,81.13
-1.53829,-26.6934,87.5786
-66.751,-46.6877,16.6589
83.2278,16.5344,30.98
-33.0116,-26.696,79.7867
36.4617,9.59868,92.9556
-62.1202,-21.4848,58.2895
-78.2057,-17.1165,28.038
82.5783,46.4639,-9.10578
80.9594,47.4544,30.1914
-82.393,-8.84201,-5.097
-32.7675,8.21653,94.9849
64.156,48.5374,69.1792
38.9741,46.3341,93.2613
-82.612,15.3824,36.4603
-0.644264,49.4033,102.1
67.3628,79.0815,25.8862
-33.9768,50.2571,94.587
30.6927,80.7516,79.2201
-63.2209,51.3488,68.02
-78.363,50.9022,29.4231
53.9729,100.427,-2.39867
-81.0317,50.9238,-4.66775
36.438,106.268,37.9038
-31.1283,80.9617,76.7729
-64.7663,80.7736,26.9347
1.27481,108.136,48.1009
-32.8642,107.827,35.8281
-51.2314,101.953,1.3178
1.66644,121.577,1.89872
28.6597,-85.9262,-11.3714
-29.0173,-85.1251,-11.0802
69.4749,-44.1034,-5.95798
48.2933,-50.3838,46.6818
1.03822,-57.203,66.4549
-52.2995,-52.3005,43.6207
-72.9902,-38.7873,-10.7115
85.3518,19.3651,-8.84233
67.791,14.7215,65.8497
-65.237,14.8067,69.9245
71.4818,76.3823,-5.69367
-85.4785,18.9736,-4.69083
55.3679,81.2388,55.0764
0.69664,84.0479,82.3616
-51.1838,83.3721,56.1675
-70.6078,76.7453,-2.42051
30.7086,116.925,3.39244
-26.1882,118.02,3.12838
-0.948295,10.0361,103.136
