x,y,z
-81.928,49.7802,1.21694
-79.7013,-13.3084,-5.06323
-54.2279,97.9276,12.4828
-56.458,-64.8778,-10.1183
84.3557,41.9517,-2.68009
57.131,96.5048,8.75401
8.10225,117.838,17.421
77.0365,-18.6208,-10.5595
51.8131,-67.5574,-13.5973
-3.24307,-89.9788,-10.53
-63.6334,-51.5542,14.3599
-66.4019,77.993,37.8517
-77.9543,-18.4673,25.4862
-83.7293,12.3146,29.1878
-79.6704,46.9273,41.3257
72.1905,74.6837,32.4316
59.3528,-55.4857,12.3502
-37.8346,-76.0736,18.1748
72.6688,-27.8621,21.851
-32.6688,99.723,51.8694
83.3234,40.2629,32.3895
81.7487,6.20358,27.9638
33.0909,-78.7824,16.5836
41.799,98.4385,47.0693
-3.48899,-84.9989,22.5039
2.61011,101.091,58.7046
-60.2773,-28.1517,52.5027
-64.2907,41.8513,72.2347
59.3259,-31.3232,49.2317
-30.5729,-58.0075,56.7786
67.1956,35.6737,69.6858
-27.4685,72.3275,86.3861
26.5103,-60.8466,55.5992
34.9794,70.9137,84.8252
-32.947,-30.972,76.6306
28.6528,-34.7041,76.3578
-32.7001,38.9601,95.1841
-33.3275,0.192943,89.2974
34.6186,35.5678,94.9071
0.012334,-36.0402,83.5305
35.371,0.326562,89.4107
2.86764,38.0033,102.392
-85.6902,18.8311,-1.12895
-72.1715,74.3252,10.3893
-71.0424,-41.622,-6.11722
-32.3607,-82.405,-13.3961
82.9868,13.0631,-7.48844
-25.5235,114.951,15.3591
73.6694,70.72,1.57474
36.6873,111.879,16.5464
25.1181,-85.7784,-14.7711
67.4405,-45.5095,-10.583
47.7172,-61.1501,31.1398
-53.3437,75.4538,66.4795
-51.4724,-52.3607,41.8233
57.4487,73.6812,63.876
-66.4105,5.20248,64.2729
64.2676,3.94065,65.0438
-3.27145,-66.9984,59.0987
2.91699,75.4414,88.7212
-0.12626,-1.27802,98.7242
