x,y,z
52.3719,101.101,13.6563
69.6676,76.6384,36.5667
34.8345,101.316,48.1864
2.37479,118.248,18.3426
83.2611,48.1629,-3.76928
81.872,46.676,34.3884
0.0659127,100.745,59.3008
29.7385,73.5294,85.5257
65.6543,43.6624,70.5995
-30.9589,102.354,47.2561
82.0099,12.2488,34.0535
-54.0567,98.6199,15.2752
36.0812,41.8426,93.8274
78.4337,-13.2782,-3.76885
-35.0884,72.5956,82.3957
75.2746,-19.5873,25.6596
-3.06193,36.9212,103.438
-69.4613,74.9648,35.0365
33.2907,2.68795,90.7394
58.0382,-28.9056,54.0734
-36.245,37.7128,95.5152
63.2686,-48.0653,17.7373
-84.0135,46.3655,-1.29728
-67.4567,41.1727,69.2842
32.5216,-31.3122,76.7806
-82.3143,45.7437,33.3017
54.6092,-65.3685,-10.2218
-32.3788,-0.0427181,89.7854
27.7351,-60.0078,56.1141
-1.72386,-33.9322,83.4545
38.1815,-75.4136,19.4432
-82.3113,7.71766,31.4983
-32.5164,-34.0354,75.2706
-79.4322,-13.5151,-5.48728
-77.5716,-20.1881,27.4278
-59.8935,-27.9802,54.8976
2.83621,-88.9212,-13.5824
1.90698,-83.3464,27.524
-24.5541,-63.3402,55.5326
-65.5552,-47.7753,15.7571
-54.448,-67.369,-11.5941
-34.4993,-78.4593,19.8934
28.3423,115.201,16.4228
73.0826,77.693,5.61157
53.5391,77.5121,65.241
-26.7967,113.797,19.1623
-3.37626,77.3237,87.4196
66.9747,10.3723,64.9031
-55.3004,75.9854,63.4134
-73.8043,72.9195,7.51852
68.9349,-43.2477,-8.33559
48.9503,-52.8339,42.2437
-85.2223,14.9605,-1.84722
-64.4145,4.15718,66.9301
31.2296,-82.134,-11.7166
0.298432,-64.3177,61.9381
-71.0845,-41.6146,-9.59754
-50.0589,-56.5703,39.258
-26.5731,-85.2113,-13.5736
84.7711,19.0605,-5.11379
-1.94455,1.89672,98.1546
