x,y,z
83.2415,46.8275,-1.69614
77.5448,-16.9708,-8.98276
55.1232,99.5746,10.705
-82.8382,48.0296,5.9969
54.4242,-64.9734,-9.78796
-56.1885,96.6976,15.9334
-78.7785,-14.6188,0.158541
-0.616886,116.705,20.7597
-54.1628,-65.786,-4.61167
0.308803,-87.9266,-6.52949
67.8117,77.923,35.3331
79.5812,50.1127,35.8803
61.4533,-50.9275,17.986
74.1265,-21.4242,25.6414
82.4236,12.4754,28.9374
-65.6368,77.8211,40.1584
-61.4619,-50.5572,20.5885
36.6783,99.9519,48.6903
-81.9906,12.434,34.637
36.226,-77.1587,20.0791
-79.5952,46.5449,40.9193
-74.9811,-20.8327,28.1766
-35.6657,-77.4772,19.8382
-36.6933,97.405,52.6096
-2.76932,100.649,58.8222
3.32091,-83.6733,30.9021
58.3092,-28.2823,53.956
66.2409,39.9539,69.3638
-59.3527,-26.6808,55.5112
-63.7911,39.4545,72.5279
32.1604,-57.0148,57.1164
30.5669,69.7108,87.3653
-28.8227,72.2559,85.981
-28.4609,-55.3768,60.7747
31.5218,-32.3097,76.64
-31.9844,-30.9324,77.1643
37.0907,36.511,93.0827
-33.5071,39.4242,94.4819
37.4716,3.4464,88.4371
2.23003,-34.135,83.5629
-33.48,4.47907,90.9634
0.715999,42.0506,101.583
84.12,14.1544,-6.08731
72.4359,74.7404,5.22414
67.962,-43.2231,-8.69512
-84.8356,15.1132,-1.54867
-71.5947,76.6772,9.42523
27.4766,115.19,17.4882
-69.5105,-41.402,-3.01627
28.9936,-83.2224,-7.94036
-27.3312,112.823,19.1687
-30.1571,-83.0746,-9.9215
49.8856,-54.1151,39.7979
55.2642,76.817,62.7969
-47.6723,-58.2773,40.0791
-56.0934,71.5982,65.3873
65.1167,6.03934,64.2308
-64.0992,3.10116,65.8857
2.21819,74.9708,88.7863
0.80445,-61.8866,64.6662
-0.418866,1.69292,98.4338
