x,y,z
82.5465,50.3687,8.79081
82.0304,13.3029,34.7726
78.0803,-15.7582,-1.49664
79.5866,47.0164,40.8976
73.8361,-20.6255,28.441
64.3344,82.7663,40.0823
65.11,43.4172,70.9445
60.975,-51.8742,17.1985
55.6597,97.5744,19.3236
56.6582,-28.4785,56.6028
52.9404,-66.0315,-5.60263
36.9165,99.3241,52.4354
33.5873,68.5347,87.2971
31.9081,39.7591,95.9774
31.8645,-77.4533,28.0292
29.255,0.440553,91.5909
28.6336,-31.3569,78.9357
25.3085,-58.4808,60.9828
1.89305,116.53,25.6421
1.49814,101.331,59.5205
2.39732,-88.9012,-5.89893
-1.12703,40.9099,101.915
-2.54921,-35.754,83.2868
-0.411021,-82.9562,29.7082
-30.1853,70.9466,86.1787
-31.5911,99.5423,53.3108
-29.6908,-58.3569,57.4706
-33.9057,42.2624,94.0429
-34.4033,3.69409,90.3695
-36.4412,-27.5779,76.4706
-33.73,-77.3167,23.4571
-54.1019,97.0886,20.6769
-53.0717,-67.2817,-6.93502
-66.2418,77.4935,41.4171
-64.1463,40.5273,72.4103
-58.5948,-28.6828,55.4039
-60.9154,-52.8005,20.0375
-79.1965,46.4776,43.7058
-76.0509,-19.2254,26.7286
-82.9071,49.6913,6.63074
-82.2632,12.5185,34.2443
-79.4459,-14.1311,0.241802
83.8658,15.2489,4.21158
73.7529,75.377,14.9582
69.5232,-42.1508,-1.21481
62.7598,4.66406,67.7402
54.0072,76.08,65.2275
46.1842,-57.2318,42.7703
29.0951,112.886,26.6174
26.9184,-84.6818,-5.79028
0.519932,73.5334,91.0123
-1.92344,-63.7553,62.5534
-30.1185,110.778,24.0665
-27.5836,-84.1725,-9.39065
-53.7982,74.106,67.3289
-49.0697,-56.9755,40.5931
-64.975,7.34506,67.0815
-71.899,75.7739,14.8974
-70.3272,-41.1647,-2.40955
-85.9282,19.3888,2.19542
0.079696,0.659798,98.4945
