x,y,z
81.25,50.3613,9.31346
80.9867,13.5682,38.3502
80.7415,-13.0796,1.98561
76.8384,46.7329,40.9795
74.6004,-20.1116,32.6356
62.0516,82.0921,41.7686
61.5644,43.8917,71.756
61.4987,-49.4149,20.8586
53.1988,100.047,23.4272
56.8895,-25.8617,60.0876
54.8666,-65.1925,-3.02375
35.1079,101.379,53.4674
31.0633,70.637,86.6504
31.4518,41.5359,96.8154
31.7294,-74.2019,29.7999
29.8638,3.18801,93.9695
29.6902,-27.2801,81.8774
25.6188,-54.4966,63.6443
0.355307,116.881,26.6852
0.20515,102.353,59.9305
1.98086,-92.0057,-3.11882
-3.05221,42.8912,100.66
-3.8052,-31.5444,85.4774
-0.198632,-81.7675,31.8286
-32.269,73.2319,84.2871
-34.0786,100.188,54.5999
-30.6799,-56.4206,60.8209
-36.7544,44.4191,95.3024
-36.7245,6.65954,94.2276
-37.2389,-25.1402,80.5124
-34.5116,-76.2576,25.7013
-54.9258,98.6949,21.0422
-54.9135,-67.7552,-4.13616
-64.8237,77.875,41.9648
-62.8206,41.9086,74.3131
-59.707,-25.7005,57.7412
-62.736,-50.554,21.5449
-75.977,46.4532,43.1127
-77.5698,-18.2539,29.1371
-80.5482,49.7491,5.32236
-81.2909,12.7848,34.8001
-82.9026,-14.4988,1.01883
86.3689,16.7033,5.78585
69.5626,76.4252,16.6172
70.5533,-40.5473,2.38573
62.8119,6.78773,70.9174
50.4607,77.5208,66.2244
46.859,-54.009,46.2324
27.4338,113.607,27.5671
27.965,-85.1856,-2.73448
-1.53458,74.7826,88.9248
-1.21858,-58.4917,64.5529
-32.4347,111.919,26.1029
-31.1476,-86.8197,-8.43917
-53.4898,74.9259,66.9116
-49.8402,-55.0044,43.2484
-64.8629,8.34297,69.1966
-71.2272,76.0396,14.4015
-72.5932,-40.0757,-0.743526
-86.7815,18.632,2.2649
-1.43454,3.01887,99.9713
