x,y,z
82.3664,49.3478,2.2917
80.569,-13.8543,-3.78644
54.0943,99.412,14.015
-82.2628,51.1282,6.75253
56.8752,-65.1706,-4.62378
-53.0076,97.0307,17.2107
-82.1742,-13.8936,3.34665
0.51206,117.304,24.5174
-54.5813,-65.8512,-1.18551
1.56792,-90.9283,-1.16264
64.7227,79.2327,37.6381
75.77,51.9551,37.5759
61.4276,-46.5539,22.9756
73.2116,-16.7518,29.8787
80.3497,15.954,33.0679
-60.6573,80.0512,40.6421
-62.4278,-49.2831,24.2271
36.0853,100.216,49.5771
-81.1014,16.1329,37.0942
36.0587,-73.4492,26.9352
-74.5974,50.1699,40.9068
-75.3092,-17.5789,31.5499
-35.0608,-74.9483,27.1633
-33.3755,100.333,52.5627
-1.19057,103.494,58.6952
2.08461,-79.781,35.7826
57.245,-20.9458,57.8816
61.8615,45.5485,70.8315
-59.1238,-19.9832,61.0466
-60.0541,45.0203,73.9035
30.7655,-50.3485,63.6926
30.8255,73.9391,85.4383
-27.4022,77.0027,84.1917
-28.7935,-49.5082,68.4705
29.5187,-23.2718,82.2748
-32.3443,-23.2167,83.2697
35.8644,43.6295,94.9819
-32.1424,46.8464,96.9349
35.4937,11.2888,94.1369
1.94715,-24.939,90.4943
-33.4438,13.3632,95.7695
1.89267,48.7332,101.995
86.9103,16.2501,-2.05619
72.5758,75.9666,8.30166
70.3459,-41.4723,-4.23823
-88.6115,16.8752,0.79582
-68.561,77.9002,11.3644
28.6079,114.682,19.5116
-71.6248,-40.7425,0.827307
31.442,-85.3189,-2.85109
-26.971,113.67,21.8022
-29.9346,-84.7041,-4.95395
49.0097,-49.2593,44.3081
52.9504,79.2316,63.7253
-48.0196,-54.476,46.9412
-52.5138,76.117,65.8722
62.4916,12.612,67.8696
-62.9587,10.0976,69.6607
3.49181,77.9464,86.7246
0.521983,-54.5993,70.0095
-0.774911,10.3126,104.53
